GEO_ID,NAME,DP04_0001E,DP04_0014E
id,Geographic Area Name,Estimate!!HOUSING OCCUPANCY!!Total housing units,Estimate!!UNITS IN STRUCTURE!!Total housing units!!Mobile home
0500000US37001,"Alamance County, North Carolina",69749,8342
0500000US37003,"Alexander County, North Carolina",16399,5111
0500000US37005,"Alleghany County, North Carolina",8160,1392
0500000US37007,"Anson County, North Carolina",11594,2929
0500000US37009,"Ashe County, North Carolina",17649,3820
0500000US37011,"Avery County, North Carolina",14166,2241
0500000US37013,"Beaufort County, North Carolina",25930,6963
0500000US37015,"Bertie County, North Carolina",9841,3607
0500000US37017,"Bladen County, North Carolina",17877,6624
0500000US37019,"Brunswick County, North Carolina",86968,19513
0500000US37021,"Buncombe County, North Carolina",121591,17321
0500000US37023,"Burke County, North Carolina",41092,10634
0500000US37025,"Cabarrus County, North Carolina",78093,4943
0500000US37027,"Caldwell County, North Carolina",37950,7215
0500000US37029,"Camden County, North Carolina",4228,662
0500000US37031,"Carteret County, North Carolina",49911,9057
0500000US37033,"Caswell County, North Carolina",10778,2904
0500000US37035,"Catawba County, North Carolina",68693,9668
0500000US37037,"Chatham County, North Carolina",31555,5203
0500000US37039,"Cherokee County, North Carolina",18104,3618
0500000US37041,"Chowan County, North Carolina",7301,1597
0500000US37043,"Clay County, North Carolina",7309,1437
0500000US37045,"Cleveland County, North Carolina",43579,8420
0500000US37047,"Columbus County, North Carolina",26250,8234
0500000US37049,"Craven County, North Carolina",46911,6393
0500000US37051,"Cumberland County, North Carolina",145839,13122
0500000US37053,"Currituck County, North Carolina",15557,2228
0500000US37055,"Dare County, North Carolina",34515,1925
0500000US37057,"Davidson County, North Carolina",74311,11424
0500000US37059,"Davie County, North Carolina",18582,3457
0500000US37061,"Duplin County, North Carolina",25876,9346
0500000US37063,"Durham County, North Carolina",133429,1836
0500000US37065,"Edgecombe County, North Carolina",24945,5961
0500000US37067,"Forsyth County, North Carolina",163382,6245
0500000US37069,"Franklin County, North Carolina",28012,7171
0500000US37071,"Gaston County, North Carolina",91779,10214
0500000US37073,"Gates County, North Carolina",5336,1735
0500000US37075,"Graham County, North Carolina",6017,1605
0500000US37077,"Granville County, North Carolina",24069,5033
0500000US37079,"Greene County, North Carolina",8316,3191
0500000US37081,"Guilford County, North Carolina",226743,6991
0500000US37083,"Halifax County, North Carolina",25919,5686
0500000US37085,"Harnett County, North Carolina",51230,11099
0500000US37087,"Haywood County, North Carolina",35398,6397
0500000US37089,"Henderson County, North Carolina",56939,8753
0500000US37091,"Hertford County, North Carolina",10632,2780
0500000US37093,"Hoke County, North Carolina",20709,4120
0500000US37095,"Hyde County, North Carolina",3249,546
0500000US37097,"Iredell County, North Carolina",72834,9889
0500000US37099,"Jackson County, North Carolina",27073,4810
0500000US37101,"Johnston County, North Carolina",73685,12796
0500000US37103,"Jones County, North Carolina",4958,1628
0500000US37105,"Lee County, North Carolina",24463,3531
0500000US37107,"Lenoir County, North Carolina",27550,6497
0500000US37109,"Lincoln County, North Carolina",35227,7410
0500000US37111,"McDowell County, North Carolina",21297,6643
0500000US37113,"Macon County, North Carolina",25557,3507
0500000US37115,"Madison County, North Carolina",10892,2796
0500000US37117,"Martin County, North Carolina",11608,2532
0500000US37119,"Mecklenburg County, North Carolina",435795,6149
0500000US37121,"Mitchell County, North Carolina",8812,1552
0500000US37123,"Montgomery County, North Carolina",16235,3737
0500000US37125,"Moore County, North Carolina",46638,6965
0500000US37127,"Nash County, North Carolina",42876,8242
0500000US37129,"New Hanover County, North Carolina",109244,4472
0500000US37131,"Northampton County, North Carolina",11670,2621
0500000US37133,"Onslow County, North Carolina",78501,11375
0500000US37135,"Orange County, North Carolina",57502,4799
0500000US37137,"Pamlico County, North Carolina",7721,1970
0500000US37139,"Pasquotank County, North Carolina",17108,2089
0500000US37141,"Pender County, North Carolina",28601,6773
0500000US37143,"Perquimans County, North Carolina",7136,1587
0500000US37145,"Person County, North Carolina",18428,4173
0500000US37147,"Pitt County, North Carolina",78563,9528
0500000US37149,"Polk County, North Carolina",11674,1750
0500000US37151,"Randolph County, North Carolina",62147,13428
0500000US37153,"Richmond County, North Carolina",21380,5574
0500000US37155,"Robeson County, North Carolina",53065,20342
0500000US37157,"Rockingham County, North Carolina",43977,7412
0500000US37159,"Rowan County, North Carolina",61329,10115
0500000US37161,"Rutherford County, North Carolina",34275,7127
0500000US37163,"Sampson County, North Carolina",27610,10152
0500000US37165,"Scotland County, North Carolina",15295,3599
0500000US37167,"Stanly County, North Carolina",27638,3609
0500000US37169,"Stokes County, North Carolina",22186,5530
0500000US37171,"Surry County, North Carolina",34030,8366
0500000US37173,"Swain County, North Carolina",8951,2451
0500000US37175,"Transylvania County, North Carolina",19560,2737
0500000US37177,"Tyrrell County, North Carolina",2229,676
0500000US37179,"Union County, North Carolina",79644,4666
0500000US37181,"Vance County, North Carolina",20117,4808
0500000US37183,"Wake County, North Carolina",421426,13644
0500000US37185,"Warren County, North Carolina",11948,3798
0500000US37187,"Washington County, North Carolina",6458,1542
0500000US37189,"Watauga County, North Carolina",33520,2936
0500000US37191,"Wayne County, North Carolina",54074,13379
0500000US37193,"Wilkes County, North Carolina",33480,9235
0500000US37195,"Wilson County, North Carolina",36005,4873
0500000US37197,"Yadkin County, North Carolina",17401,4508
0500000US37199,"Yancey County, North Carolina",11211,2427
